Code NAC,N1,N2,Niveau 1,Niveau 2,Intitulé NAC
2AA,2,2A,Droit de la famille,Filiation,Action en recherche de paternité
2AB,2,2A,Droit de la famille,Filiation,Action en recherche de maternité - dans le mariage -
2AC,2,2A,Droit de la famille,Filiation,Action en recherche de maternité - hors mariage -
2AD,2,2A,Droit de la famille,Filiation,Action en rétablissement de la présomption de paternité
2AE,2,2A,Droit de la famille,Filiation,Action en constatation de la possession d'état d'un enfant né dans le mariage
2AF,2,2A,Droit de la famille,Filiation,Action en constatation de la possession d'état d'un enfant né hors mariage
2AG,2,2A,Droit de la famille,Filiation,Demande de délivrance d'un acte de notoriété relative à la possession d'état d'un enfant né dans le mariage
2AH,3,2A,Droit de la famille,Filiation,Demande de délivrance d'un acte de notoriété relative à la possession d'état d'un enfant né hors mariage
2AI,4,2A,Droit de la famille,Filiation,Demande relative au consentement à une procréation médicalement assistée  - dans le mariage -
2AJ,5,2A,Droit de la famille,Filiation,Demande relative au consentement à une procréation médicalement assistée - hors mariage -
2AK,2,2A,Droit de la famille,Filiation,Demande de mainlevée d’une opposition à reconnaissance de paternité ou de maternité
2AM,2,2A,Droit de la famille,Filiation,Action en contestation de maternité - dans le mariage -
2AN,2,2A,Droit de la famille,Filiation,Action en contestation de maternité - hors mariage -
2AO,2,2A,Droit de la famille,Filiation,Action en contestation de paternité - dans le mariage -
2AP,2,2A,Droit de la famille,Filiation,Action en contestation de paternité - hors mariage -
2AQ,2,2A,Droit de la famille,Filiation,Action en contestation de la possession d'état d'un enfant né dans le mariage
2AR,2,2A,Droit de la famille,Filiation,Action en contestation de la possession d'état d'un enfant hors mariage
2AS,2,2A,Droit de la famille,Filiation,Demande formée par le ministère public visant à contester la filiation  maternelle - dans le mariage-
2AT,2,2A,Droit de la famille,Filiation,Demande formée par le ministère public visant à contester la filiation  maternelle -hors mariage -
2AU,2,2A,Droit de la famille,Filiation,Demande formée par le ministère public visant à contester la filiation paternelle - dans le mariage -
2AV,2,2A,Droit de la famille,Filiation,Demande formée par le ministère public visant à contester la  filiation paternelle - hors mariage-
2AZ,2,2A,Droit de la famille,Filiation,Autres demandes relatives à la filiation
30,3,30,Droit des affaires ,Bail commercial,Bail commercial
30A,3,30,Droit des affaires ,Bail commercial,Demande en nullité du bail commercial
30B,3,30,Droit des affaires ,Bail commercial,Demande en paiement des loyers et charges et/ou tendant à la  résiliation du bail et/ou à l'expulsion
30C,3,30,Droit des affaires ,Bail commercial,Demande de fixation du prix du bail révisé ou renouvelé
30D,3,30,Droit des affaires ,Bail commercial,Action relative à la déspécialisation
30E,3,30,Droit des affaires ,Bail commercial,Action en contestation de congé et/ou demande de renouvellement de bail
30F,3,30,Droit des affaires ,Bail commercial,Demande d'évaluation et/ou en paiement de l'indemnité d'éviction
30G,3,30,Droit des affaires ,Bail commercial,"Demande d'exécution de travaux à la charge du bailleur, ou demande en garantie contre le bailleur"
30H,3,30,Droit des affaires ,Bail commercial,Demande de fixation du prix de cession du bail commercial en cas de préemption
30Z,3,30,Droit des affaires ,Bail commercial,Autres demandes en matière de baux commerciaux
31,3,31,Droit des affaires ,Vente du fonds de commerce,Vente du fonds de commerce
31A,3,31,Droit des affaires ,Vente du fonds de commerce,Demande en nullité des promesses de vente ou de vente de fonds de commerce
31B,3,31,Droit des affaires ,Vente du fonds de commerce,Demande en paiement du prix et/ou tendant à faire sanctionner le non-paiement du prix
31C,3,31,Droit des affaires ,Vente du fonds de commerce,Demande formée par les créanciers du vendeur inscrits ou opposants
31D,3,31,Droit des affaires ,Vente du fonds de commerce,Demande en garantie formée contre le vendeur
31E,3,31,Droit des affaires ,Vente du fonds de commerce,Demande en radiation de l'inscription du privilège du vendeur
31F,3,31,Droit des affaires ,Vente du fonds de commerce,Demande en nullité ou mainlevée de l'opposition sur le prix de vente
31G,3,31,Droit des affaires ,Vente du fonds de commerce,Demande de vente en justice du fonds de commerce
31H,3,31,Droit des affaires ,Vente du fonds de commerce,Demande de fixation du prix de cession du fonds de commerce en cas de préemption
31Z,3,31,Droit des affaires ,Vente du fonds de commerce,Autres demandes en matière de vente de fonds de commerce
32,3,32,Droit des affaires ,Location-gérance du fonds de commerce,Location-gérance du fonds de commerce
32A,3,32,Droit des affaires ,Location-gérance du fonds de commerce,Demande en nullité du contrat de location-gérance
32B,3,32,Droit des affaires ,Location-gérance du fonds de commerce,Demande en paiement formée contre le loueur et/ou le locataire-gérant
32C,3,32,Droit des affaires ,Location-gérance du fonds de commerce,Demande en révision du loyer assorti d'une clause d'échelle mobile
32D,3,32,Droit des affaires ,Location-gérance du fonds de commerce,Demande en paiement de redevance et/ou en résiliation de contrat
32E,3,32,Droit des affaires ,Location-gérance du fonds de commerce,Demande de reprise du fonds par le loueur à l'expiration du contrat de location-gérance
32F,3,32,Droit des affaires ,Location-gérance du fonds de commerce,Demande de dispense des conditions nécessaires à la concession d'une location gérance
32Z,3,32,Droit des affaires ,Location-gérance du fonds de commerce,Autres demandes en matière de location-gérance du fonds de commerce
33,3,33,Droit des affaires ,"Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks","Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks"
33A,3,33,Droit des affaires ,"Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks",Demande de vente forcée du fonds nanti et/ou en surenchère du 10°
33B,3,33,Droit des affaires ,"Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks",Demande en nullité du nantissement et de l'inscription du nantissement du fonds de commerce
33C,3,33,Droit des affaires ,"Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks",Demande d'inscription provisoire du nantissement du fonds de commerce nanti
33D,3,33,Droit des affaires ,"Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks",Demande en déchéance du terme en cas de déplacement du fonds de commerce
33E,3,33,Droit des affaires ,"Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks",Demande de vente forcée du bien nanti et/ou en surenchère du 10°
33F,3,33,Droit des affaires ,"Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks",Demande en nullité du nantissement ou de l'inscription du nantissement du matériel ou de l'outillage
33G,3,33,Droit des affaires ,"Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks",Demande d'autorisation de vente amiable du bien formée par le débiteur
33H,3,33,Droit des affaires ,"Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks",Demande de déchéance du terme en cas de déplacement du bien nanti
33Z,3,33,Droit des affaires ,"Nantissement du fonds de commerce ou du fonds artisanal, de l'outillage, et du matériel d'équipement ou gage des stocks","Autres demandes en matière de nantissement du fonds de commerce, du fonds artisanal, du matériel ou de l'outillage ou du gage des stocks"
34,3,34,Droit des affaires ,Groupements : Fonctionnement (I),Groupements : Fonctionnement (I)
34A,3,34,Droit des affaires ,Groupements : Fonctionnement (I),Demande en nullité de groupement
34B,3,34,Droit des affaires ,Groupements : Fonctionnement (I),Demande de libération des apports et/ou en régularisation des statuts et des formalités de constitution
34C,3,34,Droit des affaires ,Groupements : Fonctionnement (I),Demande en nullité des actes des assemblées et conseils
34D,3,34,Droit des affaires ,Groupements : Fonctionnement (I),Demande relative à la tenue de l'assemblée générale
34E,3,34,Droit des affaires ,Groupements : Fonctionnement (I),Demande de prorogation pour le paiement des dividendes
34F,3,34,Droit des affaires ,Groupements : Fonctionnement (I),Demande tendant à la communication des documents sociaux
34G,3,34,Droit des affaires ,Groupements : Fonctionnement (I),"Demande en paiement de cotisations formée contre les adhérents d'une association, d'un syndicat ou d'un ordre professionnel"
34H,3,34,Droit des affaires ,Groupements : Fonctionnement (I),Demande visant à faire respecter les obligations d'une société relatives au plan de vigilance
35,3,35,Droit des affaires ,Groupements : Fonctionnement (II),Groupements : Fonctionnement (II)
35A,3,35,Droit des affaires ,Groupements : Fonctionnement (II),Demande tendant à contester l'agrément ou le refus d'agrément de cessionnaires de parts sociales ou d'actions
35B,3,35,Droit des affaires ,Groupements : Fonctionnement (II),"Action en opposition des créanciers contre un projet de fusion, scission, ou de réduction du capital"
35C,3,35,Droit des affaires ,Groupements : Fonctionnement (II),"Demande de nomination d'un commissaire aux apports, d'un commissaire à la fusion ou d'un commissaire à la transformation"
35D,3,35,Droit des affaires ,Groupements : Fonctionnement (II),"Demande de nomination, de récusation ou de relèvement judiciaires d'un commissaire aux comptes"
35E,3,35,Droit des affaires ,Groupements : Fonctionnement (II),Demande de nomination d'un mandataire de justice chargé d'accomplir certaines opérations
35F,3,35,Droit des affaires ,Groupements : Fonctionnement (II),Demande de dissolution du groupement
35G,3,35,Droit des affaires ,Groupements : Fonctionnement (II),Demande de nomination d'un administrateur provisoire
35H,3,35,Droit des affaires ,Groupements : Fonctionnement (II),Demande relative à la désignation et aux pouvoirs du liquidateur
35Z,3,35,Droit des affaires ,Groupements : Fonctionnement (II),Autres demandes relatives au fonctionnement du groupement
36,3,36,Droit des affaires ,Groupements : Dirigeants,Groupements : Dirigeants
36A,3,36,Droit des affaires ,Groupements : Dirigeants,Demande en nullité de la désignation d'un dirigeant du groupement
36B,3,36,Droit des affaires ,Groupements : Dirigeants,Demande en révocation des dirigeants
36C,3,36,Droit des affaires ,Groupements : Dirigeants,Demande en indemnisation formée par le dirigeant pour révocation injustifiée
36D,3,36,Droit des affaires ,Groupements : Dirigeants,Demande en nullité des opérations ou des conventions conclues par un dirigeant
36E,3,36,Droit des affaires ,Groupements : Dirigeants,Action en responsabilité civile exercée contre les dirigeants ou les associés
36F,3,36,Droit des affaires ,Groupements : Dirigeants,Demande d'exclusion de membre ou retrait de membre ou associé
36Z,3,36,Droit des affaires ,Groupements : Dirigeants,Autres demandes relatives aux dirigeants du groupement
38,3,38,Droit des affaires ,Banque - Effets de commerce,Banque - Effets de commerce
38A,3,38,Droit des affaires ,Banque - Effets de commerce,Demande relative à une cession ou un nantissement de créances professionnelles
38B,3,38,Droit des affaires ,Banque - Effets de commerce,"Demande en paiement par le porteur, d'une lettre de change, d'un billet à ordre"
38C,3,38,Droit des affaires ,Banque - Effets de commerce,Demande en paiement du solde du compte bancaire
38D,3,38,Droit des affaires ,Banque - Effets de commerce,Action en responsabilité exercée contre l'établissement de crédit pour octroi abusif de crédits ou brusque rupture de crédits
38E,3,38,Droit des affaires ,Banque - Effets de commerce,Autres actions en responsabilité exercées contre un établissement de crédit
38F,3,38,Droit des affaires ,Banque - Effets de commerce,Demande relative à une interdiction bancaire
38G,3,38,Droit des affaires ,Banque - Effets de commerce,Demande de mainlevée d'opposition au paiement d'un chèque
38Z,3,38,Droit des affaires ,Banque - Effets de commerce,Autres demandes en matière de droit bancaire et d'effets de commerce
39,3,39,Droit des affaires ,Concurrence,Concurrence
39A,3,39,Droit des affaires ,Concurrence,"Demande en cessation et/ou en réparation, de pratiques anticoncurrentielles restrictives "
39B,3,39,Droit des affaires ,Concurrence,"Demande en contrefaçon et/ou en nullité de brevet, d'obtention végétale ou de topographie de semi conducteur (Ce poste ne doit plus être utilisé à compter du 1er janvier 2009)"
39C,3,39,Droit des affaires ,Concurrence,Demande en contrefaçon et/ou en nullité de marque (Ce poste ne doit plus être utilisé à compter du 1er janvier 2009)
39D,3,39,Droit des affaires ,Concurrence,Demande en contrefaçon et/ou en nullité de dessins et modèles (Ce poste ne doit plus être utilisé à compter du 1er janvier 2009)
39E,3,39,Droit des affaires ,Concurrence,Demande en délivrance de licence et/ou en fixation de redevances (Ce poste ne doit plus être utilisé à compter du 1er janvier 2009)
39F,3,39,Droit des affaires ,Concurrence,"Demande en exécution, nullité, résolution d'un contrat de licence et cession de brevet, d'obtention végétale, de topographie de semi conducteur ou de marque (Ce poste ne doit plus être utilisé à compter du 1er janvier 2009)"
39G,3,39,Droit des affaires ,Concurrence,"Demande en cessation d'utilisation d'un nom commercial, d'une raison sociale, ou d'une enseigne "
39H,3,39,Droit des affaires ,Concurrence,Demande en cessation de concurrence déloyale ou illicite et/ou en dommages et intérêts
39I,3,39,Droit des affaires ,Concurrence,Demande en cessation d'utilisation d'un nom de domaine
39J  ,3,39,Droit des affaires ,Concurrence,Demande en réparation des préjudices résultant de la rupture brutale d'une relation commerciale établie
39K,3,39,Droit des affaires ,Concurrence,Demande en cessation et/ou en nullité et/ou en réparation du fait de pratiques anticoncurrentielles
39L,3,39,Droit des affaires ,Concurrence,Demande en cessation et/ou en nullité et/ou en réparation du fait de pratiques restrictives
39M,3,39,Droit des affaires ,Concurrence,Recours contre les décisions de communication ou de production de pièces susceptibles d'être couvertes par un secret des affaires
39Z,3,39,Droit des affaires ,Concurrence,"Autres demandes en matière de brevet, d'obtention végétale, de topographie de semi conducteur, marque, dessins et modèles (Ce poste ne doit plus être utilisé à compter du 1er janvier 2009)"
3A,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs","Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs"
3AA,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs",Demande en contrefaçon de brevet européen
3AB,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs","Demande en contrefaçon de brevet français, de certificat complémentaire de protection ou de topographie de semi-conducteurs"
3AC,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs",Demande en non-contrefaçon de brevet européen
3AD,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs","Demande en non-contrefaçon de brevet français, de certificat complémentaire de protection "
3AE,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs",Demande en nullité de brevet européen
3AF,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs","Demande en nullité de brevet français, de certificat complémentaire de protection ou de topographie de semi-conducteurs"
3AG,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs",Demande de rémunération d'un inventeur salarié
3AH,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs","Demande en exécution, nullité, résolution d'un contrat de licence ou de cession de brevet"
3AI,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs",Recours contre les décisions du directeur de l'INPI - brevets -
3AZ,3,3A,Droit des affaires ,"Propriété industrielle : Brevets, certificats complémentaires de protection et topographie de semi-conducteurs","Autres demandes en matière de brevets, certificats complémentaires de protection et topographie de semi-conducteurs"
3B,3,3B,Droit des affaires ,Propriété industrielle : Obtentions végétales,Propriété industrielle : Obtentions végétales
3BA,3,3B,Droit des affaires ,Propriété industrielle : Obtentions végétales,Demande en contrefaçon d'obtention végétale communautaire
3BB,3,3B,Droit des affaires ,Propriété industrielle : Obtentions végétales,Demande en contrefaçon d'obtention végétale nationale
3BC,3,3B,Droit des affaires ,Propriété industrielle : Obtentions végétales,Demande en nullité du certificat d'obtention végétale communautaire
3BD,3,3B,Droit des affaires ,Propriété industrielle : Obtentions végétales,Demande en nullité du certificat d'obtention végétale nationale
3BE,3,3B,Droit des affaires ,Propriété industrielle : Obtentions végétales,"Demande en exécution, nullité, résolution d'un contrat de licence ou de cession d'obtention végétale"
3BF,3,3B,Droit des affaires ,Propriété industrielle : Obtentions végétales,Recours contre les décisions de l'Instance nationale des obtentions végétales
3BZ,3,3B,Droit des affaires ,Propriété industrielle : Obtentions végétales,Autres demandes en matière d'obtention végétale
3C,3,3C,Droit des affaires ,Propriété industrielle : Marques,Propriété industrielle : Marques
3CA,3,3C,Droit des affaires ,Propriété industrielle : Marques,Demande en contrefaçon de marque communautaire
3CB,3,3C,Droit des affaires ,Propriété industrielle : Marques,Demande en contrefaçon de marque française ou internationale
3CC,3,3C,Droit des affaires ,Propriété industrielle : Marques,Demande en nullité de marque
3CD,3,3C,Droit des affaires ,Propriété industrielle : Marques,Demande en déchéance de marque
3CE,3,3C,Droit des affaires ,Propriété industrielle : Marques,Recours contre les décisions du directeur de l'INPI - marques -
3CF,3,3C,Droit des affaires ,Propriété industrielle : Marques,"Demande en exécution, nullité, résolution d'un contrat de licence ou de cession de marques"
3CZ,3,3C,Droit des affaires ,Propriété industrielle : Marques,Autres demandes en matière de marques
3D,3,3D,Droit des affaires ,Propriété industrielle : Indications géographiques (appellations d'origine contrôlée),Propriété industrielle : Indications géographiques (appellations d'origine contrôlée)
3DA,3,3D,Droit des affaires ,Propriété industrielle : Indications géographiques (appellations d'origine contrôlée),Demande en contrefaçon - indications géographiques (appellations d'origine contrôlée) -
3DZ,3,3D,Droit des affaires ,Propriété industrielle : Indications géographiques (appellations d'origine contrôlée),Autres demandes en matière d'indications géographiques (appellations d'origine contrôlée)
3E,3,3E,Droit des affaires , Propriété industrielle : Dessins et modèles, Propriété industrielle : Dessins et modèles
3EA,3,3E,Droit des affaires , Propriété industrielle : Dessins et modèles,Demande en contrefaçon de dessins et modèles communautaires
3EB,3,3E,Droit des affaires , Propriété industrielle : Dessins et modèles,Demande en contrefaçon de dessins et modèles français ou internationaux
3EC,3,3E,Droit des affaires , Propriété industrielle : Dessins et modèles,Demande en nullité de dessins et modèles communautaires non enregistrés
3ED,3,3E,Droit des affaires , Propriété industrielle : Dessins et modèles,Demande en nullité de dessins et modèles français ou internationaux
3EE,3,3E,Droit des affaires , Propriété industrielle : Dessins et modèles,Recours contre les décisions du directeur de l'INPI - dessins et modèles-
3EF,3,3E,Droit des affaires , Propriété industrielle : Dessins et modèles,"Demande en exécution, nullité, résolution d'un contrat de licence ou de cession de dessins et modèles"
3EZ,3,3E,Droit des affaires , Propriété industrielle : Dessins et modèles,Autres demandes en matière de dessins et modèles
40,4,40,Entreprises en difficulté,Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006),Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006)
40A,4,40,Entreprises en difficulté,Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006),Demande de redressement judiciaire (procédures ouvertes avant le 1er janvier 2006)
40B,4,40,Entreprises en difficulté,Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006),Demande de liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006)
40C,4,40,Entreprises en difficulté,Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006),Demande d'ouverture d'une procédure de règlement amiable ou de désignation d'un conciliateur (procédures ouvertes avant le 1er janvier 2006)
40D,4,40,Entreprises en difficulté,Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006),Appel sur une décision de cessation de l'activité de l'entreprise ou de liquidation judiciaire en cours de procédure (procédures ouvertes avant le 1er janvier 2006)
40E,4,40,Entreprises en difficulté,Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006),Demande de redressement judiciaire à l'encontre du locataire-gérant en cas d'inexécution de ses obligations (procédures ouvertes avant le 1er janvier 2006)
40F,4,40,Entreprises en difficulté,Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006),Demande d'ouverture d'une procédure de liquidation judiciaire  en cas de résolution du plan de continuation (procédures ouvertes avant le 1er janvier 2006)
40G,4,40,Entreprises en difficulté,Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006),Demande d'ouverture d'une procédure de redressement ou de liquidation judiciaire à l'encontre des dirigeants en cas d'inexécution de la condamnation en comblement de l'insuffisance d'actif (procédures ouvertes avant le 1er janvier 2006)
40H,4,40,Entreprises en difficulté,Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006),Demande d'extension aux dirigeants du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006)
40I,4,40,Entreprises en difficulté,Ouverture du redressement ou de la liquidation judiciaire (procédures ouvertes avant le 1er janvier 2006),Demande de reprise de la procédure de redressement judiciaire (procédures ouvertes avant le 1er janvier 2006)
41,4,41,Entreprises en difficulté,L'entreprise au cours de la procédure (I) (procédures ouvertes avant le 1er janvier 2006),L'entreprise au cours de la procédure (I) (procédures ouvertes avant le 1er janvier 2006)
41A,4,41,Entreprises en difficulté,L'entreprise au cours de la procédure (I) (procédures ouvertes avant le 1er janvier 2006),"Appel sur une décision relative à la désignation, au remplacement ou à la mission d'un expert, de l'administrateur, du représentant du créancier, du commissaire à l'exécution du plan ou du liquidateur (procédures ouvertes avant le 1er janvier 2006)"
41Z,4,41,Entreprises en difficulté,L'entreprise au cours de la procédure (I) (procédures ouvertes avant le 1er janvier 2006),Appel sur des décisions relatives au déroulement de la procédure (procédures ouvertes avant le 1er janvier 2006)
42,4,42,Entreprises en difficulté,L'entreprise au cours de la procédure (II) (procédures ouvertes avant le 1er janvier 2006),L'entreprise au cours de la procédure (II) (procédures ouvertes avant le 1er janvier 2006)
42A,4,42,Entreprises en difficulté,L'entreprise au cours de la procédure (II) (procédures ouvertes avant le 1er janvier 2006),Appel sur des décisions relatives à l'autorisation ou à la résiliation d'un contrat de location gérance ou à la nullité des actes du débiteur non autorisés par le juge commissaire ou d'homologation de compromis ou de transaction (procédures ouvertes avant le 1er janvier 2006)
42B,4,42,Entreprises en difficulté,L'entreprise au cours de la procédure (II) (procédures ouvertes avant le 1er janvier 2006),"Appel sur des décisions relatives au remplacement du ou des dirigeants, ou de privation du droit de vote, ou de cession forcée des actions (procédures ouvertes avant le 1er janvier 2006)"
43,4,43,Entreprises en difficulté,L'entreprise au cours de la procédure (III) (procédures ouvertes avant le 1er janvier 2006),L'entreprise au cours de la procédure (III) (procédures ouvertes avant le 1er janvier 2006)
43A,4,43,Entreprises en difficulté,L'entreprise au cours de la procédure (III) (procédures ouvertes avant le 1er janvier 2006),Demande en modification de la date de la cessation des paiements (procédures ouvertes avant le 1er janvier 2006)
43B,4,43,Entreprises en difficulté,L'entreprise au cours de la procédure (III) (procédures ouvertes avant le 1er janvier 2006),Demande en nullité des actes de la période suspecte (procédures ouvertes avant le 1er janvier 2006)
43C,4,43,Entreprises en difficulté,L'entreprise au cours de la procédure (III) (procédures ouvertes avant le 1er janvier 2006),Appel sur une décision du juge commissaire relative à l'admission des créances (procédures ouvertes avant le 1er janvier 2006)
43D,4,43,Entreprises en difficulté,L'entreprise au cours de la procédure (III) (procédures ouvertes avant le 1er janvier 2006),Appel sur une décision du juge commissaire relative à la réclamation sur l'état des créances (procédures ouvertes avant le 1er janvier 2006)
43E,4,43,Entreprises en difficulté,L'entreprise au cours de la procédure (III) (procédures ouvertes avant le 1er janvier 2006),Appel sur une décision relative au relevé de forclusion (procédures ouvertes avant le 1er janvier 2006)
44,4,44,Entreprises en difficulté,Plan de continuation de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Plan de continuation de l'entreprise (procédures ouvertes avant le 1er janvier 2006)
44A,4,44,Entreprises en difficulté,Plan de continuation de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Appel sur une décision relative à l'admission du plan de continuation (procédures ouvertes avant le 1er janvier 2006)
44B,4,44,Entreprises en difficulté,Plan de continuation de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Appel sur une décision  relative à la modification substantielle du plan de continuation (procédures ouvertes avant le 1er janvier 2006)
44C,4,44,Entreprises en difficulté,Plan de continuation de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Demande en nullité d'un acte passé en violation d'une inaliénabilité temporaire (procédures ouvertes avant le 1er janvier 2006)
45,4,45,Entreprises en difficulté,Plan de cession de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Plan de cession de l'entreprise (procédures ouvertes avant le 1er janvier 2006)
45A,4,45,Entreprises en difficulté,Plan de cession de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Appel sur une décision relative à l'admission du plan de cession sans location gérance (procédures ouvertes avant le 1er janvier 2006)
45B,4,45,Entreprises en difficulté,Plan de cession de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Appel sur une décision relative à l'admission du plan de cession avec location gérance (procédures ouvertes avant le 1er janvier 2006)
45C,4,45,Entreprises en difficulté,Plan de cession de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Appel sur une décision  relative à la modification substantielle du plan de cession (procédures ouvertes avant le 1er janvier 2006)
45D,4,45,Entreprises en difficulté,Plan de cession de l'entreprise (procédures ouvertes avant le 1er janvier 2006),"Appel sur une décision relative à l'autorisation par le cessionnaire d'aliéner des biens, les louer, les grever de sûretés (procédures ouvertes avant le 1er janvier 2006)"
45E,4,45,Entreprises en difficulté,Plan de cession de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Demande en nullité des actes interdits au cessionnaire (procédures ouvertes avant le 1er janvier 2006)
45F,4,45,Entreprises en difficulté,Plan de cession de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Appel sur une décision de nomination d'un administrateur ad hoc (procédures ouvertes avant le 1er janvier 2006)
45G,4,45,Entreprises en difficulté,Plan de cession de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Demande de clôture du plan de cession (procédures ouvertes avant le 1er janvier 2006)
45H,4,45,Entreprises en difficulté,Plan de cession de l'entreprise (procédures ouvertes avant le 1er janvier 2006),Demande de résolution du plan de cession (procédures ouvertes avant le 1er janvier 2006)
46,4,46,Entreprises en difficulté,Liquidation judiciaire - Clôture des opérations (procédures ouvertes avant le 1er janvier 2006),Liquidation judiciaire - Clôture des opérations (procédures ouvertes avant le 1er janvier 2006)
46A,4,46,Entreprises en difficulté,Liquidation judiciaire - Clôture des opérations (procédures ouvertes avant le 1er janvier 2006),Demande de clôture pour extinction du passif  (procédures ouvertes avant le 1er janvier 2006)
46B,4,46,Entreprises en difficulté,Liquidation judiciaire - Clôture des opérations (procédures ouvertes avant le 1er janvier 2006),Demande de clôture pour insuffisance d'actif  (procédures ouvertes avant le 1er janvier 2006)
47,4,47,Entreprises en difficulté,Autres demandes en matière de redressement et de liquidation judiciaires (procédures ouvertes avant le 1er janvier 2006),Autres demandes en matière de redressement et de liquidation judiciaires (procédures ouvertes avant le 1er janvier 2006)
47A,4,47,Entreprises en difficulté,Autres demandes en matière de redressement et de liquidation judiciaires (procédures ouvertes avant le 1er janvier 2006),Demande en comblement de l'insuffisance d'actif à l'encontre des dirigeants (procédures ouvertes avant le 1er janvier 2006)
47B,4,47,Entreprises en difficulté,Autres demandes en matière de redressement et de liquidation judiciaires (procédures ouvertes avant le 1er janvier 2006),Demande de prononcé de la faillite personnelle ou d'autres sanctions (procédures ouvertes avant le 1er janvier 2006)
47C,4,47,Entreprises en difficulté,Autres demandes en matière de redressement et de liquidation judiciaires (procédures ouvertes avant le 1er janvier 2006),"Action en responsabilité exercée contre l'administrateur, le représentant des créanciers, le liquidateur, le commissaire à l'exécution du plan (procédures ouvertes avant le 1er janvier 2006)"
47D,4,47,Entreprises en difficulté,Autres demandes en matière de redressement et de liquidation judiciaires (procédures ouvertes avant le 1er janvier 2006),Recours devant le tribunal contre les décisions du juge commissaire (procédures ouvertes avant le 1er janvier 2006)
47E,4,47,Entreprises en difficulté,Autres demandes en matière de redressement et de liquidation judiciaires (procédures ouvertes avant le 1er janvier 2006),"Action en responsabilité exercée contre l'Etat, les collectivités territoriales (procédures ouvertes avant le 1er janvier 2006)"
